medium_multiplier,high_multiplier,balanced_accuracy
0.8,2.2,0.9714686159507595
0.8,2.3,0.9714609163163352
0.825,2.275,0.9714411567059832
0.825,2.25,0.9714079857319092
0.85,2.3,0.9714012633388162
0.825,2.3,0.9713505296363746
0.8,2.225,0.9713501036289637
0.8,2.175,0.9713421750461338
0.875,2.3,0.971335524485537
0.825,2.225,0.9713329868795547
0.8,2.15,0.9713325608721437
0.825,2.2,0.9713233727055647
1.0,2.15,0.9713079280963992
1.025,2.2,0.9713058883303242
0.85,1.825,0.9713012925197836
0.825,2.175,0.971299815905481
0.85,2.275,0.9712983792342742
0.975,2.1,0.9712890539233339
0.85,2.25,0.9712887650602843
0.8,2.275,0.9712856762203819
0.825,1.775,0.9712844581127932
0.95,2.05,0.9712587028976607
0.925,1.975,0.9712580998027923
0.9,1.925,0.9712576737953814
1.05,2.275,0.9712480780598748
0.875,1.875,0.9712478107014376
0.9,1.95,0.971246374030231
0.8,2.25,0.9712455339332614
0.8,1.725,0.9712422042271013
0.925,2.0,0.971239828724595
1.0,2.25,0.971239172235714
1.05,2.25,0.9712384638858849
0.8,2.125,0.9712366480806486
0.875,1.9,0.9712365109362873
0.9,2.025,0.9712333886739204
1.075,2.3,0.971227413040688
1.0,2.175,0.9712242723398375
0.875,1.975,0.9712235255799767
0.95,1.775,0.971222660114238
1.025,2.225,0.9712222325737625
0.85,2.0,0.971222194163731
0.975,2.2,0.9712202980626486
0.8,2.1,0.9712200625936118
0.925,2.175,0.9712165008729171
1.0,1.675,0.9712158858601966
0.975,1.775,0.9712128688527906
0.875,1.75,0.9712110395966377
0.85,1.85,0.9712106654501751
0.85,1.425,0.9712092502835808
0.95,2.0,0.97120894643655
0.85,2.225,0.9712067948948828
1.0,2.0,0.9712057723132347
0.85,1.55,0.9712041935101
1.0,1.825,0.9712038577736687
0.925,1.55,0.971203556992767
1.05,2.1,0.9712016927810847
0.8,1.8,0.9712013336186033
0.975,1.95,0.9712008407662629
0.875,1.65,0.9712004681528646
0.875,1.475,0.9712002392044591
0.9,1.8,0.971199988751441
0.85,1.7,0.971199136736619
0.95,1.9,0.971198374992777
1.225,2.05,0.9711975279655217
0.975,1.825,0.9711972406355368
0.95,2.15,0.9711969183500223
1.025,2.05,0.971196761234113
0.975,2.3,0.9711960129411876
1.0,1.875,0.9711952008694617
0.875,1.6,0.9711951824309781
0.9,2.125,0.9711951609263657
0.85,1.9,0.9711950372329211
0.95,1.6,0.9711945459136451
1.075,1.8,0.971193784169803
0.925,1.85,0.971193443445805
0.975,2.275,0.9711933700802443
1.025,1.725,0.971192932154981
0.9,2.1,0.9711925180654224
0.975,2.125,0.9711914555406785
0.875,2.0,0.9711913118756859
1.05,1.975,0.9711911213373118
0.95,2.025,0.9711906753583528
1.125,2.1,0.9711903595934697
0.9,1.9,0.9711896462560735
0.9,1.7,0.971189417307668
0.825,1.65,0.9711892736426755
0.85,1.6,0.971188565292846
0.875,2.275,0.9711881696417709
0.95,2.125,0.9711873041760323
1.025,1.925,0.9711861897903399
1.25,2.275,0.9711859258864051
0.85,1.925,0.9711837374677708
1.075,2.15,0.9711836706228412
0.925,1.95,0.9711831009504377
0.925,1.75,0.9711828720020321
0.825,1.925,0.9711818029566568
1.025,1.875,0.9711809040684534
0.95,1.8,0.9711808322359571
0.875,1.85,0.9711797831621299
1.05,1.925,0.9711788643023783
1.0,2.1,0.9711788443308303
0.825,1.55,0.9711787021989023
0.9,1.65,0.9711771602727346
1.25,2.1,0.9711770400337922
1.15,2.15,0.971176416967376
0.9,2.275,0.9711761615267912
0.875,2.05,0.9711756836584319
0.85,2.15,0.9711753095119692
0.95,2.075,0.971175047141099
0.875,1.5,0.9711749968132151
1.05,2.2,0.9711747647986805
0.95,2.2,0.9711743188197216
1.0,1.9,0.9711742869303213
0.975,2.15,0.9711731844624812
1.075,2.025,0.9711730991790682
0.825,1.8,0.9711729171040441
0.85,1.95,0.9711724377026204
1.025,2.3,0.9711717477912746
0.95,2.175,0.9711716759587783
0.85,1.875,0.9711714804328374
0.825,1.85,0.9711712315128839
1.125,2.05,0.9711711312454895
0.9,2.225,0.9711708758049046
0.825,1.95,0.9711705031915066
1.1,2.2,0.9711701540041585
0.85,2.1,0.9711700237900828
1.05,1.775,0.9711699784497657
1.225,2.3,0.9711698716617402
1.025,2.15,0.9711698332517087
0.975,1.85,0.9711693553833495
0.95,1.625,0.971169303522401
1.15,1.925,0.9711692167059236
0.925,2.075,0.9711684300029667
0.8,1.6,0.971167933696124
1.175,2.2,0.9711674058882541
1.05,1.75,0.9711673355888224
1.175,1.975,0.9711671769398486
0.975,2.05,0.9711669414708117
0.975,1.625,0.9711664835740005
1.1,1.85,0.9711663249250266
1.05,1.8,0.9711656499976621
0.9,1.5,0.9711656315591787
1.0,2.3,0.9711651306531425
0.975,1.675,0.9711647979828402
0.95,2.1,0.9711637473759485
1.05,2.225,0.9711634650335301
0.95,2.225,0.9711630190545711
0.85,1.8,0.9711609089890644
0.925,2.125,0.9711597730987597
1.1,2.075,0.9711595825603855
1.15,2.3,0.9711591031589618
1.125,2.25,0.9711591031589618
1.025,1.95,0.9711583045381526
0.8,1.5,0.9711573622523509
1.15,2.1,0.9711571886193958
0.8,1.35,0.9711571333039454
1.075,2.25,0.9711567426404368
0.925,1.7,0.9711566723410051
1.2,2.25,0.9711559290356465
1.2,2.025,0.971155700087241
1.175,2.15,0.9711551488533209
0.825,1.375,0.9711549164504131
0.95,1.75,0.9711546325749301
0.875,1.825,0.971153583501103
1.175,2.225,0.9711534632621607
0.825,1.6,0.9711534598076583
0.8,2.075,0.9711520350543039
0.95,2.25,0.9711517192894208
1.05,2.3,0.9711504796772195
0.975,1.8,0.9711501270353692
0.85,1.65,0.9711493802755085
1.0,1.725,0.9711488155906717
1.125,2.125,0.9711485317151888
1.15,2.175,0.9711485317151888
0.975,1.65,0.9711482124958034
0.825,1.825,0.9711476747128002
0.9,1.525,0.9711473604809814
0.875,1.7,0.9711473405094334
1.075,1.975,0.9711468995180411
1.0,2.125,0.9711466306265396
0.825,2.15,0.9711454897486682
1.075,2.275,0.9711454428752866
0.925,1.725,0.9711453725758546
0.95,1.725,0.9711450184009401
0.925,2.05,0.971144873202883
1.025,2.175,0.9711445908604647
0.9,2.0,0.9711444471954721
1.225,2.1,0.9711444003220905
0.825,1.75,0.971144074582074
0.9,2.3,0.9711439478225005
1.225,2.25,0.971143672000713
1.2,2.2,0.971143672000713
0.875,2.075,0.9711434699541411
1.0,2.225,0.971143259444219
0.925,2.1,0.9711431876117227
0.9,1.55,0.9711430320288779
1.05,2.0,0.9711423221459841
0.925,2.025,0.9711422303419397
1.05,2.15,0.9711415938246067
1.0,2.275,0.9711415738530587
0.875,1.95,0.9711415554145754
1.125,1.9,0.9711413314537364
1.025,2.275,0.971141219678144
0.8,1.675,0.9711410057137196
0.875,2.175,0.9711400987718205
1.0,1.7,0.9711392014166815
0.8,1.975,0.9711388207495877
0.875,1.675,0.9711377263354434
0.8,1.75,0.9711376345313991
1.25,2.3,0.9711371266950772
0.875,1.8,0.971136998014066
1.2,2.275,0.9711350150965061
0.85,1.975,0.9711332526852828
0.85,1.625,0.9711327947884715
0.8,1.875,0.9711325777579182
0.875,1.45,0.9711322116651512
1.2,2.0,0.9711321432871572
0.825,1.875,0.9711320464955461
0.8,1.375,0.9711318909127012
1.0,2.05,0.971131730730663
0.975,2.175,0.9711313565842005
0.875,2.15,0.9711304845978305
0.8,2.025,0.9711301638453805
1.125,1.925,0.9711300316885859
1.025,2.1,0.971129690964588
0.9,1.75,0.9711293183511899
0.85,2.175,0.9711291531815848
1.0,2.025,0.9711290878697199
0.825,1.5,0.9711289457377917
0.9,2.05,0.9711288189782182
0.9,1.975,0.9711278617084352
1.225,2.075,0.9711278148350537
0.85,1.775,0.9711277380149905
0.825,1.9,0.9711277180434426
0.925,2.15,0.9711275593944689
1.0,1.85,0.9711271733301539
1.225,2.225,0.9711270865136763
0.975,2.0,0.9711267991836912
1.075,1.85,0.971126713900278
1.1,2.025,0.9711264115863116
0.9,1.85,0.9711259471688692
0.825,1.425,0.9711253456070654
0.825,2.05,0.971125304130905
0.875,2.1,0.971125198875944
0.85,1.75,0.9711250951540474
1.05,2.125,0.9711250083375699
1.125,1.875,0.9711247459666995
1.025,2.25,0.9711246341911072
0.95,1.95,0.9711243334102053
0.975,1.975,0.9711241563227478
1.25,2.15,0.971123912390361
