medium_multiplier,high_multiplier,balanced_accuracy
0.925,1.65,0.9710634727098851
1.05,1.875,0.971062284958632
1.15,2.05,0.971058631433893
0.8,1.425,0.9710502918276336
0.975,1.75,0.9710450245442305
0.95,1.7,0.9710425587707446
1.175,2.1,0.9710401832682386
1.075,1.925,0.9710368654799307
1.0,1.8,0.9710360134651088
1.2,2.15,0.9710356777286777
1.075,1.95,0.9710325370278271
1.225,2.2,0.9710311721891167
1.25,2.25,0.9710266666495558
0.95,1.725,0.9710242876925474
0.825,1.475,0.9710228325828573
1.1,1.975,0.9710208830877621
1.225,2.225,0.9710198724239664
0.975,1.775,0.9710197821529866
1.0,1.775,0.9710194279780721
1.125,2.025,0.9710094062351544
1.25,2.275,0.9710083955713587
1.225,2.175,0.9710076153890331
0.875,1.575,0.9710072761980997
0.9,1.6,0.9710070991106422
0.85,1.525,0.9710068501906887
1.0,1.825,0.971003799760818
1.1,2.0,0.9710026120095648
0.875,1.55,0.9709976620241095
1.1,1.95,0.9709973262876783
1.25,2.225,0.9709961385364254
1.15,2.075,0.9709958896164718
1.125,2.0,0.9709928207481177
1.025,1.825,0.9709919687332956
1.125,2.05,0.9709911351569572
0.9,1.625,0.9709888280324451
1.025,1.85,0.9709876402811921
0.825,1.5,0.9709836475655197
0.975,1.65,0.9709803681872433
1.0,1.95,0.9709751861872534
0.85,1.55,0.9709746364863978
0.975,1.8,0.9709736258226022
1.05,1.9,0.9709716578890234
0.95,1.75,0.9709711600491162
0.975,1.675,0.9709690684220931
1.225,2.075,0.9709665158321296
1.2,2.175,0.9709659645982095
1.175,2.125,0.9709634988247235
0.925,1.675,0.970958903014183
1.15,2.1,0.9709567045991342
1.025,2.0,0.9709546982555239
0.9,1.525,0.9709520569276452
1.125,2.075,0.9709519501396197
1.25,2.15,0.9709507105274183
1.0,1.7,0.9709504431689812
0.975,1.725,0.9709491117527356
1.15,1.975,0.9709478187465215
0.8,1.45,0.9709457221319314
1.075,1.825,0.9709443238707562
0.8,1.475,0.9709440365407711
1.025,1.875,0.9709414839508076
1.25,2.125,0.9709410963534282
0.9,1.55,0.9709407571624947
1.075,1.85,0.9709399954186527
1.0,1.725,0.9709391434038307
1.0,1.85,0.9709367294912932
1.075,1.9,0.9709339813753889
0.875,1.6,0.9709332346155279
1.2,2.125,0.9709327936241358
1.15,2.125,0.9709314622078901
1.15,1.95,0.9709312332594845
1.0,2.25,0.9709311733448405
0.9,1.65,0.9709287290759671
1.2,2.2,0.9709267795808719
0.8,1.375,0.9709255365141681
1.05,1.925,0.970925501558639
1.05,2.05,0.9709247732372618
1.175,2.15,0.970924313807386
1.225,2.25,0.9709222740413109
1.075,1.975,0.9709209960190782
1.075,2.1,0.9709202676977008
0.9,2.025,0.970918844477411
0.825,1.525,0.9709165772959949
0.825,1.4,0.9709163483475892
1.175,2.025,0.9709154279547733
0.975,2.2,0.9709122991717751
1.225,2.275,0.9709109742761606
0.9,1.675,0.9709104579977699
1.1,1.9,0.9709100704003905
1.075,2.0,0.9709096962539278
1.025,1.9,0.9709092702465169
1.2,2.225,0.9709085085026747
0.925,1.575,0.9709081892832893
1.05,1.95,0.9709072304804418
1.175,2.175,0.9709060427291888
1.175,2.0,0.9709058137807832
0.925,1.7,0.9709057753707517
1.2,2.025,0.9709056366933257
0.85,1.925,0.9709046529313636
1.025,2.225,0.9709044424214416
1.1,2.15,0.9709042853055322
1.2,2.075,0.9709039511021654
1.125,2.3,0.9709033798966976
1.075,2.2,0.9709029538892867
1.175,2.3,0.9709026715468682
1.025,1.75,0.9709020699850645
