medium_multiplier,high_multiplier,balanced_accuracy
0.78,2.07,0.9714268564504726
0.96,2.55,0.9714228671893025
0.84,2.23,0.9714166576200977
0.8,2.13,0.971408834292229
0.98,2.61,0.9714068847971338
0.9,2.39,0.9714011012353402
0.94,1.69,0.9713988739970199
0.92,2.45,0.9713965956957792
0.94,2.49,0.9713964186083218
0.96,1.73,0.97139479446487
0.94,2.51,0.9713920901562183
0.92,1.65,0.9713894369104872
1.02,2.71,0.9713892886463013
0.98,2.31,0.9713881558221255
1.04,2.77,0.9713872488802263
1.06,1.91,0.971387061407981
0.82,1.47,0.9713861191221794
0.98,1.77,0.9713857833857481
0.96,1.71,0.9713851802908801
0.86,2.29,0.9713797612887887
0.84,1.51,0.9713746422695716
0.8,1.45,0.9713737902547498
1.04,1.87,0.9713731187818874
0.96,1.79,0.9713721949345692
0.94,1.71,0.9713709887448326
0.78,1.41,0.9713708984738528
0.92,2.17,0.9713708954077239
0.88,2.33,0.9713705731222095
0.96,1.65,0.9713702803950034
1.14,2.05,0.9713698912645595
0.92,1.67,0.9713685229713467
1.04,2.45,0.9713685199052179
0.78,1.39,0.9713682556129096
1.02,1.83,0.9713681872349156
0.96,1.75,0.9713669092126826
1.0,2.67,0.9713659089336749
0.86,1.55,0.9713656311904498
0.82,2.19,0.9713653926552842
1.06,1.89,0.9713635046078974
1.04,1.85,0.9713635046078974
0.98,1.75,0.9713622265856645
0.96,2.19,0.9713613530662301
0.96,1.63,0.9713606662210132
1.14,2.03,0.9713602770905694
1.06,1.93,0.9713591761557939
0.9,1.63,0.971359085884814
1.14,2.69,0.971358321074843
0.98,1.79,0.971357898133561
0.98,2.29,0.9713576277089949
1.08,1.95,0.9713575623971299
0.8,1.43,0.9713572047677129
0.98,1.83,0.9713562125424007
0.86,1.53,0.9713560170164598
1.14,2.07,0.9713559486384659
1.12,2.01,0.9713559486384659
0.98,1.69,0.9713542980028347
0.8,1.87,0.9713526058910432
0.88,2.35,0.9713523020440125
1.04,1.89,0.9713522048427471
1.0,1.81,0.9713517788353361
0.82,1.49,0.9713512625569454
1.0,2.65,0.9713493234466379
0.96,2.27,0.9713483677099196
0.82,1.41,0.9713476624262191
0.86,1.59,0.9713473601122526
0.92,2.15,0.9713473386076403
1.02,1.85,0.9713472732957751
0.86,2.03,0.9713470896876867
0.84,1.53,0.9713467570173844
0.96,2.57,0.9713461827457875
1.1,1.99,0.9713460855445221
1.08,2.55,0.9713459922074134
0.94,2.23,0.9713454759290227
0.88,1.59,0.9713451432587205
0.98,1.67,0.9713446838288448
1.14,2.11,0.9713446488733153
1.1,2.05,0.9713443999533619
1.16,2.09,0.9713428580271941
0.9,1.61,0.9713425003977773
1.06,1.83,0.971341633398974
1.04,1.79,0.971341633398974
0.9,1.55,0.9713415431279943
0.8,1.89,0.9713413061258929
1.06,2.51,0.9713406346530306
1.0,1.85,0.9713404790701857
0.98,2.33,0.9713393566307976
0.98,2.59,0.971338857257826
0.96,2.25,0.9713387535359295
0.82,1.87,0.9713387350974458
1.04,2.43,0.9713379917920872
0.86,1.57,0.9713377459382627
0.94,2.15,0.9713375473461928
0.94,1.79,0.9713370894493815
0.92,1.59,0.9713370375884333
0.78,1.33,0.9713367702299962
1.02,1.75,0.9713367018520022
1.08,1.97,0.9713366484579894
0.8,1.29,0.9713360618801667
0.82,1.53,0.9713356343396914
1.1,1.89,0.971335514100749
1.06,1.71,0.9713353904073045
0.94,1.65,0.9713351749098157
1.12,2.03,0.9713350346993254
0.88,1.51,0.9713345718149474
1.02,1.73,0.9713340589910588
1.08,1.93,0.9713340055970461
1.04,1.93,0.9713339337645498
0.88,1.63,0.97133384349357
0.9,1.67,0.97133384349357
0.84,1.43,0.9713335427126681
0.92,1.61,0.9713327091363296
1.06,1.81,0.9713320192249838
1.04,1.77,0.9713320192249838
0.9,1.53,0.9713319289540041
0.78,1.85,0.9713314430319492
0.84,1.57,0.9713311288001304
1.12,2.07,0.9713307062472217
0.86,2.01,0.9713305042006497
0.78,2.09,0.9713292580678172
0.84,1.45,0.9713292142605646
0.96,1.55,0.9713291808380998
1.02,1.89,0.971329002217578
0.78,1.83,0.971328800171006
0.92,2.43,0.9713285681564713
0.88,1.57,0.9713285577716836
0.92,1.57,0.9713274234144432
1.06,1.97,0.971326962451503
0.9,2.13,0.9713266017559571
1.1,2.51,0.9713265867719759
0.8,1.83,0.9713264062300162
1.14,2.13,0.9713263777951182
0.96,1.83,0.9713260386041848
0.94,1.63,0.9713255607358255
0.78,1.35,0.9713254704648459
1.1,2.01,0.9713251716053817
1.1,2.57,0.9713249011808157
0.84,1.47,0.971324885808461
0.94,1.75,0.9713248324144482
0.78,1.45,0.9713247421434684
1.14,1.97,0.9713244632555522
1.06,2.49,0.9713240491659937
0.98,1.87,0.9713239988381098
0.94,1.67,0.9713238751446652
0.98,2.63,0.9713232290405721
1.06,1.99,0.9713226339993994
0.92,1.71,0.9713223666409623
1.0,1.87,0.9713222079919884
0.92,2.19,0.9713220962163961
0.94,2.21,0.9713219191289388
0.9,1.45,0.9713213575102312
0.84,1.99,0.9713212442015743
0.96,2.15,0.9713212107791095
1.14,2.67,0.9713208216486656
0.94,1.77,0.9713205039623447
1.04,2.47,0.9713197207138902
1.02,2.73,0.971319575515833
0.84,2.25,0.9713190592374423
1.1,1.87,0.9713189286137123
0.82,1.95,0.9713187784280883
0.86,2.27,0.9713187050625276
0.84,1.97,0.9713186013406311
1.16,1.99,0.9713183439573275
1.12,1.93,0.9713174919425055
0.9,2.41,0.9713174454787783
0.96,1.69,0.9713171527515722
0.9,2.11,0.971316987581967
1.14,2.71,0.9713164931965621
0.78,1.49,0.9713160852392613
1.0,1.75,0.971315965000319
1.08,2.53,0.9713154640942828
0.94,1.73,0.9713152182404582
0.86,1.61,0.9713151464079619
1.14,2.17,0.9713150780299679
1.16,2.11,0.9713149727750068
1.02,2.41,0.9713147891669184
1.08,1.89,0.971314777249066
1.0,1.79,0.9713142794091588
0.78,1.37,0.9713141706996954
1.02,2.33,0.9713138318971354
1.0,1.73,0.9713133221393756
1.12,2.09,0.9713124351690247
1.16,2.07,0.9713123299140637
1.0,2.37,0.9713123233934322
